Manufacturer,Vehicle,year,category,MSRP(Min),MSRP(Max),comfort,driving,interior,overall rating,tech,utility,link
chevrolet,2019 Chevrolet Silverado 2500HD Double Cab,2019,truck,"$37,600 ","$45,900 ",7.2,8.0,7.5,7.2,6.0,7.5,https://www.edmunds.com/chevrolet/silverado-2500hd/2019/
chevrolet,2019 Chevrolet Silverado 2500HD Regular Cab,2019,truck,"$37,600 ","$45,900 ",7.2,8.0,7.5,7.2,6.0,7.5,https://www.edmunds.com/chevrolet/silverado-2500hd/2019/
chevrolet,2019 Chevrolet Tahoe SUV,2019,suv,"$46,800 ","$65,700 ",7.0,6.5,7.5,7.0,7.5,6.0,https://www.edmunds.com/chevrolet/tahoe/2019/
chevrolet,2020 Chevrolet Equinox SUV,2020,suv,"$23,800 ","$35,700 ",7.0,8.0,7.0,7.4,8.0,7.5,https://www.edmunds.com/chevrolet/equinox/2020/
chrysler,2019 Chrysler 300 Sedan,2019,sedan,"$29,220 ","$41,695 ",7.6,7.5,8.0,7.6,8.0,7.5,https://www.edmunds.com/chrysler/300/2019/
chrysler,2019 Chrysler Pacifica Hybrid Minivan,2019,minivan,"$39,995 ","$45,545 ",7.9,7.0,8.5,7.9,8.5,8.0,https://www.edmunds.com/chrysler/pacifica-hybrid/2019/
chrysler,2019 Chrysler Pacifica Minivan,2019,minivan,"$26,985 ","$44,445 ",7.6,7.5,8.5,7.6,8.0,8.0,https://www.edmunds.com/chrysler/pacifica/2019/
dodge,2018 Dodge Charger SRT 392,2018,sedan,"$28,995 ","$66,295 ",7.4,8.0,7.0,7.4,8.0,6.5,https://www.edmunds.com/dodge/charger/2018/
dodge,2019 Dodge Challenger Coupe,2019,coupe,"$27,845 ","$69,995 ",7.8,7.5,7.5,7.8,8.0,8.0,https://www.edmunds.com/dodge/challenger/2019/
dodge,2019 Dodge Challenger R/T Scat Pack,2019,coupe,"$27,845 ","$69,995 ",7.8,7.5,7.5,7.8,8.0,8.0,https://www.edmunds.com/dodge/challenger/2019/
dodge,2019 Dodge Challenger SRT Hellcat,2019,coupe,"$27,845 ","$69,995 ",7.8,7.5,7.5,7.8,8.0,8.0,https://www.edmunds.com/dodge/challenger/2019/
dodge,2019 Dodge Challenger SRT Hellcat Redeye,2019,coupe,"$27,845 ","$69,995 ",7.8,7.5,7.5,7.8,8.0,8.0,https://www.edmunds.com/dodge/challenger/2019/
dodge,2019 Dodge Charger SRT Hellcat,2019,sedan,"$29,220 ","$65,545 ",7.4,8.0,7.0,7.4,8.0,6.5,https://www.edmunds.com/dodge/charger/2019/
dodge,2019 Dodge Journey SUV,2019,suv,"$22,995 ","$35,295 ",5.4,5.5,6.5,5.4,4.0,7.0,https://www.edmunds.com/dodge/journey/2019/
fiat,2019 FIAT 124 Spider Convertible,2019,convertible,"$25,190 ","$29,290 ",6.4,7.0,6.5,6.4,7.0,5.0,https://www.edmunds.com/fiat/124-spider/2019/
ford,2018 Ford Focus RS Hatchback,2018,hatchback,"$41,120 ","$41,120 ",7.6,8.5,7.0,7.6,7.0,7.5,https://www.edmunds.com/ford/focus-rs/2018/
ford,2019 Ford Edge SUV,2019,suv,"$29,995 ","$42,355 ",7.6,7.0,7.5,7.6,8.0,8.0,https://www.edmunds.com/ford/edge/2019/
ford,2019 Ford Expedition SUV,2019,suv,"$48,530 ","$79,200 ",7.7,7.5,8.0,7.7,8.5,8.5,https://www.edmunds.com/ford/expedition/2019/
ford,2019 Ford F-150 Regular Cab,2019,truck,"$28,155 ","$37,885 ",8.1,8.5,8.5,8.1,7.5,8.5,https://www.edmunds.com/ford/f-150/2019/
ford,2019 Ford F-150 SuperCab,2019,truck,"$28,155 ","$37,885 ",8.1,8.5,8.5,8.1,7.5,8.5,https://www.edmunds.com/ford/f-150/2019/
ford,2019 Ford F-150 SuperCrew,2019,truck,"$28,155 ","$37,885 ",8.1,8.5,8.5,8.1,7.5,8.5,https://www.edmunds.com/ford/f-150/2019/
ford,2019 Ford F-250 Super Duty Diesel,2019,truck,"$33,150 ","$40,165 ",8.0,8.0,8.0,8.0,8.0,8.5,https://www.edmunds.com/ford/f-250-super-duty/2019/
ford,2019 Ford F-250 Super Duty Regular Cab,2019,truck,"$33,150 ","$40,165 ",8.0,8.0,8.0,8.0,8.0,8.5,https://www.edmunds.com/ford/f-250-super-duty/2019/
ford,2019 Ford F-250 Super Duty SuperCab,2019,truck,"$33,150 ","$40,165 ",8.0,8.0,8.0,8.0,8.0,8.5,https://www.edmunds.com/ford/f-250-super-duty/2019/
ford,2019 Ford Ranger Crew Cab,2019,truck,"$24,300 ","$36,390 ",6.8,7.0,7.0,6.8,8.0,6.0,https://www.edmunds.com/ford/ranger/2019/
ford,2019 Ford Ranger SuperCab,2019,truck,"$24,300 ","$36,390 ",6.8,7.0,7.0,6.8,8.0,6.0,https://www.edmunds.com/ford/ranger/2019/
ford,2019 Ford Taurus SHO,2019,sedan,"$27,800 ","$42,975 ",6.8,7.0,6.0,6.8,7.5,7.5,https://www.edmunds.com/ford/taurus/2019/
ford,2019 Ford Taurus Sedan,2019,sedan,"$27,800 ","$42,975 ",6.8,7.0,6.0,6.8,7.5,7.5,https://www.edmunds.com/ford/taurus/2019/
ford,2020 Ford EcoSport SUV,2020,suv,"$20,485 ","$27,715 ",7.0,6.0,7.0,6.8,7.0,7.0,https://www.edmunds.com/ford/ecosport/2020/
ford,2020 Ford Mustang BULLITT,2020,coupe,"$26,670 ","$47,810 ",8.0,8.5,8.0,7.9,8.0,6.5,https://www.edmunds.com/ford/mustang/2020/
ford,2020 Ford Mustang Convertible,2020,coupe,"$26,670 ","$47,810 ",8.0,8.5,8.0,7.9,8.0,6.5,https://www.edmunds.com/ford/mustang/2020/
ford,2020 Ford Mustang Coupe,2020,coupe,"$26,670 ","$47,810 ",8.0,8.5,8.0,7.9,8.0,6.5,https://www.edmunds.com/ford/mustang/2020/
ford,2020 Ford Transit Connect Diesel,2020,minivan,"$24,275 ","$32,250 ",7.0,7.5,7.5,7.0,7.0,5.5,https://www.edmunds.com/ford/transit-connect/2020/
ford,2020 Ford Transit Connect Minivan,2020,minivan,"$24,275 ","$32,250 ",7.0,7.5,7.5,7.0,7.0,5.5,https://www.edmunds.com/ford/transit-connect/2020/
gmc,2019 GMC Sierra 1500 Double Cab,2019,truck,"$29,600 ","$34,200 ",7.3,7.5,7.5,7.3,7.5,8.0,https://www.edmunds.com/gmc/sierra-1500/2019/
gmc,2019 GMC Sierra 1500 Regular Cab,2019,truck,"$29,600 ","$34,200 ",7.3,7.5,7.5,7.3,7.5,8.0,https://www.edmunds.com/gmc/sierra-1500/2019/
gmc,2019 GMC Terrain Diesel,2019,suv,"$25,000 ","$39,500 ",6.5,6.0,6.0,6.5,7.5,7.0,https://www.edmunds.com/gmc/terrain/2019/
gmc,2019 GMC Yukon SUV,2019,suv,"$49,600 ","$69,700 ",6.9,7.5,7.0,6.9,6.5,7.0,https://www.edmunds.com/gmc/yukon/2019/
honda,2018 Honda Civic Si w/Summer Tires,2018,sedan,"$18,940 ","$26,800 ",8.4,8.5,8.0,8.4,8.0,8.5,https://www.edmunds.com/honda/civic/2018/
honda,2018 Honda Civic Type R Touring,2018,sedan,"$18,940 ","$26,800 ",8.4,8.5,8.0,8.4,8.0,8.5,https://www.edmunds.com/honda/civic/2018/
honda,2019 Honda Accord Hybrid Sedan,2019,sedan,"$25,320 ","$34,990 ",7.8,7.5,8.0,7.8,8.0,9.0,https://www.edmunds.com/honda/accord-hybrid/2019/
honda,2019 Honda Accord Sedan,2019,sedan,"$23,720 ","$35,950 ",8.3,8.5,8.0,8.3,8.0,9.0,https://www.edmunds.com/honda/accord/2019/
