Manufacturer,Vehicle,year,category,MSRP(Min),MSRP(Max),comfort,driving,interior,overall rating,tech,utility,link
jeep,2019 Jeep Grand Cherokee Trackhawk,2019,suv,"$31,945 ","$86,900 ",7.9,8.5,8.0,7.9,7.5,7.5,https://www.edmunds.com/jeep/grand-cherokee/2019/
jeep,2019 Jeep Wrangler SUV,2019,suv,"$28,045 ","$51,300 ",7.8,7.5,7.5,7.8,8.0,7.5,https://www.edmunds.com/jeep/wrangler/2019/
jeep,2020 Jeep Gladiator Crew Cab,2020,truck,"$33,545 ","$43,545 ",7.5,7.0,8.0,7.9,8.5,7.0,https://www.edmunds.com/jeep/gladiator/2020/
kia,2018 Kia Forte Hatchback,2018,sedan,"$16,800 ","$21,700 ",8.1,8.5,7.5,8.1,7.5,8.5,https://www.edmunds.com/kia/forte/2018/
kia,2019 Kia Cadenza Sedan,2019,sedan,"$33,100 ","$44,100 ",7.5,7.5,8.0,7.5,7.5,7.5,https://www.edmunds.com/kia/cadenza/2019/
kia,2019 Kia Niro Plug-In Hybrid SUV,2019,suv,"$28,500 ","$35,200 ",6.9,6.0,8.0,6.9,7.5,6.5,https://www.edmunds.com/kia/niro-plug-in-hybrid/2019/
kia,2019 Kia Niro SUV,2019,suv,"$23,490 ","$32,250 ",7.0,6.0,8.0,7.0,7.5,6.5,https://www.edmunds.com/kia/niro/2019/
kia,2019 Kia Optima Sedan,2019,sedan,"$22,990 ","$31,990 ",7.6,8.0,8.0,7.6,7.5,7.5,https://www.edmunds.com/kia/optima/2019/
kia,2019 Kia Rio Hatchback,2019,sedan,"$15,390 ","$16,190 ",7.7,7.5,8.0,7.7,7.0,7.5,https://www.edmunds.com/kia/rio/2019/
kia,2019 Kia Rio Sedan,2019,sedan,"$15,390 ","$16,190 ",7.7,7.5,8.0,7.7,7.0,7.5,https://www.edmunds.com/kia/rio/2019/
kia,2019 Kia Sorento SUV,2019,suv,"$26,290 ","$46,490 ",7.5,7.0,8.0,7.5,8.0,7.5,https://www.edmunds.com/kia/sorento/2019/
kia,2019 Kia Stinger Sedan,2019,sedan,"$32,990 ","$52,400 ",8.2,8.5,7.0,8.2,8.5,8.5,https://www.edmunds.com/kia/stinger/2019/
kia,2020 Kia Soul Wagon,2020,wagon,"$17,490 ","$27,490 ",7.5,8.0,8.5,7.8,7.0,7.5,https://www.edmunds.com/kia/soul/2020/
kia,2020 Kia Telluride SUV,2020,suv,"$31,690 ","$43,490 ",9.0,8.0,8.5,8.4,8.0,8.0,https://www.edmunds.com/kia/telluride/2020/
lexus,2019 Lexus ES 300h Sedan,2019,sedan,"$41,560 ","$45,210 ",7.9,7.0,8.5,7.9,6.5,8.5,https://www.edmunds.com/lexus/es-300h/2019/
lexus,2019 Lexus ES 350 Sedan,2019,sedan,"$39,750 ","$44,285 ",8.1,8.0,8.0,8.1,8.0,8.0,https://www.edmunds.com/lexus/es-350/2019/
lexus,2019 Lexus GS F Sedan,2019,sedan,"$84,600 ","$84,600 ",7.7,9.0,7.5,7.7,5.5,7.5,https://www.edmunds.com/lexus/gs-f/2019/
lexus,2019 Lexus IS 300 Sedan,2019,sedan,"$38,560 ","$43,805 ",7.2,7.0,6.5,7.2,6.5,7.5,https://www.edmunds.com/lexus/is-300/2019/
lexus,2019 Lexus LS 500 Sedan,2019,sedan,"$75,450 ","$84,670 ",7.6,7.0,7.0,7.6,6.5,8.0,https://www.edmunds.com/lexus/ls-500/2019/
lexus,2019 Lexus LX 570 SUV,2019,suv,"$86,230 ","$91,230 ",6.9,6.5,7.0,6.9,7.0,7.0,https://www.edmunds.com/lexus/lx-570/2019/
lexus,2019 Lexus RC 300 Coupe,2019,coupe,"$41,145 ","$50,035 ",7.1,7.5,7.0,7.1,6.5,6.5,https://www.edmunds.com/lexus/rc-300/2019/
lexus,2019 Lexus RC 350 Coupe,2019,coupe,"$44,075 ","$52,400 ",7.2,8.0,7.0,7.2,6.5,6.5,https://www.edmunds.com/lexus/rc-350/2019/
lexus,2019 Lexus UX 200 SUV,2019,suv,"$32,150 ","$37,350 ",7.1,7.0,6.8,7.1,7.0,6.5,https://www.edmunds.com/lexus/ux-200/2019/
lexus,2020 Lexus RC F Coupe,2020,coupe,"$64,750 ","$96,650 ",8.0,7.0,7.0,6.6,5.0,5.5,https://www.edmunds.com/lexus/rc-f/2020/
mazda,2019 Mazda 3 Hatchback,2019,sedan,"$21,000 ","$27,900 ",7.6,8.0,7.5,7.6,7.0,7.0,https://www.edmunds.com/mazda/3/2019/
mazda,2019 Mazda 3 Sedan,2019,sedan,"$21,000 ","$27,900 ",7.6,8.0,7.5,7.6,7.0,7.0,https://www.edmunds.com/mazda/3/2019/
mazda,2019 Mazda 6 Sedan,2019,sedan,"$23,800 ","$35,100 ",8.2,8.5,8.5,8.2,7.5,8.0,https://www.edmunds.com/mazda/6/2019/
mazda,2019 Mazda CX-3 SUV,2019,suv,"$20,390 ","$27,145 ",7.6,7.5,8.5,7.6,7.0,6.5,https://www.edmunds.com/mazda/cx-3/2019/
mazda,2019 Mazda CX-5 SUV,2019,suv,"$24,350 ","$36,890 ",8.1,8.0,8.0,8.1,8.0,8.5,https://www.edmunds.com/mazda/cx-5/2019/
mazda,2019 Mazda CX-9 SUV,2019,suv,"$32,280 ","$45,365 ",7.9,8.5,8.0,7.9,8.0,7.0,https://www.edmunds.com/mazda/cx-9/2019/
mazda,2019 Mazda MX-5 Miata Convertible,2019,convertible,"$25,730 ","$31,855 ",8.0,9.0,7.5,8.0,8.0,6.0,https://www.edmunds.com/mazda/mx-5-miata/2019/
mazda,2019 Mazda MX-5 Miata RF Convertible,2019,convertible,"$32,345 ","$34,410 ",8.0,9.0,7.5,8.0,8.0,5.5,https://www.edmunds.com/mazda/mx-5-miata-rf/2019/
subaru,2019 Subaru BRZ Coupe,2019,coupe,"$25,795 ","$30,140 ",7.4,8.0,7.5,7.4,5.5,7.5,https://www.edmunds.com/subaru/brz/2019/
subaru,2019 Subaru Crosstrek Hybrid,2019,suv,"$21,895 ","$34,995 ",7.6,7.0,8.5,7.6,7.5,7.0,https://www.edmunds.com/subaru/crosstrek/2019/
subaru,2019 Subaru Crosstrek SUV,2019,suv,"$21,895 ","$34,995 ",7.6,7.0,8.5,7.6,7.5,7.0,https://www.edmunds.com/subaru/crosstrek/2019/
subaru,2019 Subaru Forester SUV,2019,suv,"$24,295 ","$34,295 ",7.8,7.0,8.5,7.8,8.5,8.0,https://www.edmunds.com/subaru/forester/2019/
subaru,2019 Subaru Impreza Hatchback,2019,sedan,"$18,595 ","$25,190 ",7.4,7.5,8.5,7.4,8.0,7.0,https://www.edmunds.com/subaru/impreza/2019/
subaru,2019 Subaru Impreza Sedan,2019,sedan,"$18,595 ","$25,190 ",7.4,7.5,8.5,7.4,8.0,7.0,https://www.edmunds.com/subaru/impreza/2019/
toyota,2019 Toyota 86 Coupe,2019,coupe,"$26,655 ","$32,420 ",7.6,8.0,7.5,7.6,7.0,7.5,https://www.edmunds.com/toyota/86/2019/
toyota,2019 Toyota C-HR SUV,2019,suv,"$21,145 ","$26,200 ",6.6,6.5,7.0,6.6,7.0,6.0,https://www.edmunds.com/toyota/c-hr/2019/
toyota,2019 Toyota Camry Hybrid Sedan,2019,sedan,"$28,400 ","$32,975 ",7.8,7.5,8.5,7.8,6.5,8.5,https://www.edmunds.com/toyota/camry-hybrid/2019/
toyota,2019 Toyota Camry Sedan,2019,sedan,"$24,095 ","$34,850 ",7.6,7.5,8.0,7.6,6.5,8.5,https://www.edmunds.com/toyota/camry/2019/
toyota,2019 Toyota Corolla Hatchback,2019,hatchback,"$20,140 ","$24,240 ",7.4,7.5,7.5,7.4,7.0,6.0,https://www.edmunds.com/toyota/corolla-hatchback/2019/
toyota,2019 Toyota Highlander Hybrid SUV,2019,suv,"$37,320 ","$48,980 ",7.0,7.0,7.5,7.0,6.5,6.5,https://www.edmunds.com/toyota/highlander-hybrid/2019/
toyota,2019 Toyota Land Cruiser SUV,2019,suv,"$85,165 ","$85,165 ",7.9,8.5,7.5,7.9,7.0,7.0,https://www.edmunds.com/toyota/land-cruiser/2019/
toyota,2019 Toyota Prius Hatchback,2019,hatchback,"$23,770 ","$32,200 ",7.8,7.5,8.5,7.8,6.5,8.0,https://www.edmunds.com/toyota/prius/2019/
toyota,2019 Toyota RAV4 Hybrid SUV,2019,suv,"$27,850 ","$35,850 ",7.8,7.0,8.0,7.8,8.0,8.0,https://www.edmunds.com/toyota/rav4-hybrid/2019/
toyota,2019 Toyota Tacoma Access Cab,2019,truck,"$25,850 ","$35,830 ",7.4,7.5,7.0,7.4,7.0,7.5,https://www.edmunds.com/toyota/tacoma/2019/
toyota,2019 Toyota Tacoma Double Cab,2019,truck,"$25,850 ","$35,830 ",7.4,7.5,7.0,7.4,7.0,7.5,https://www.edmunds.com/toyota/tacoma/2019/
toyota,2019 Toyota Tundra CrewMax,2019,truck,"$31,670 ","$43,985 ",6.7,6.5,7.0,6.7,6.5,7.0,https://www.edmunds.com/toyota/tundra/2019/
toyota,2019 Toyota Tundra Double Cab,2019,truck,"$31,670 ","$43,985 ",6.7,6.5,7.0,6.7,6.5,7.0,https://www.edmunds.com/toyota/tundra/2019/
toyota,2020 Toyota Sienna Minivan,2020,minivan,"$31,415 ","$49,190 ",7.5,7.0,7.5,7.3,7.0,8.0,https://www.edmunds.com/toyota/sienna/2020/
volkswagen,2019 Volkswagen Arteon Hatchback,2019,hatchback,"$35,845 ","$46,710 ",7.5,7.5,7.5,7.5,7.0,8.0,https://www.edmunds.com/volkswagen/arteon/2019/
volkswagen,2019 Volkswagen Atlas SUV,2019,suv,"$30,895 ","$48,395 ",7.8,8.0,8.0,7.8,8.0,8.0,https://www.edmunds.com/volkswagen/atlas/2019/
volkswagen,2019 Volkswagen Golf Alltrack Wagon,2019,wagon,"$26,895 ","$36,095 ",7.4,7.5,8.0,7.4,7.0,7.5,https://www.edmunds.com/volkswagen/golf-alltrack/2019/
volkswagen,2019 Volkswagen Golf GTI Hatchback,2019,hatchback,"$27,595 ","$37,095 ",8.4,7.5,8.5,8.4,8.5,8.5,https://www.edmunds.com/volkswagen/golf-gti/2019/
volkswagen,2019 Volkswagen Golf Hatchback,2019,hatchback,"$21,845 ","$25,245 ",7.8,7.5,8.5,7.8,8.0,8.5,https://www.edmunds.com/volkswagen/golf/2019/
volkswagen,2019 Volkswagen Golf R Hatchback,2019,hatchback,"$40,395 ","$41,495 ",8.6,9.0,9.0,8.6,8.5,8.0,https://www.edmunds.com/volkswagen/golf-r/2019/
volkswagen,2019 Volkswagen Jetta Sedan,2019,sedan,"$18,745 ","$27,695 ",7.4,7.0,7.5,7.4,7.5,8.0,https://www.edmunds.com/volkswagen/jetta/2019/
volkswagen,2019 Volkswagen Tiguan SUV,2019,suv,"$24,295 ","$38,895 ",7.3,6.0,8.0,7.3,7.5,8.0,https://www.edmunds.com/volkswagen/tiguan/2019/
volkswagen,2019 Volkswagen e-Golf Hatchback,2019,hatchback,"$31,895 ","$38,895 ",7.9,8.0,8.5,7.9,7.5,8.0,https://www.edmunds.com/volkswagen/e-golf/2019/
